time,open,high,low,close,Volume
2024-04-22T15:30:00+02:00,4993.88,4994.74,4986.51,4986.51,NaN
2024-04-22T15:35:00+02:00,4986.55,4988.06,4984.26,4986.99,NaN
2024-04-22T15:40:00+02:00,4986.76,4988.14,4982.41,4987.44,NaN
2024-04-22T15:45:00+02:00,4987.68,4994.57,4985.96,4994.1,NaN
2024-04-22T15:50:00+02:00,4994.34,4995.28,4991.89,4993.79,NaN
2024-04-22T15:55:00+02:00,4993.64,4995.79,4990.51,4990.51,NaN
2024-04-22T16:00:00+02:00,4990.63,4996.7,4990.63,4994.34,NaN
2024-04-22T16:05:00+02:00,4994.29,4996.31,4989.89,4990.47,NaN
2024-04-22T16:10:00+02:00,4990.57,4994.76,4989.3,4990.65,NaN
2024-04-22T16:15:00+02:00,4990.7,4992.16,4987.63,4989.42,NaN
2024-04-22T16:20:00+02:00,4989.42,4989.59,4980.98,4982.45,NaN
2024-04-22T16:25:00+02:00,4982.2,4982.38,4976.92,4979.16,NaN
2024-04-22T16:30:00+02:00,4979.3,4982.59,4979.3,4980.61,NaN
2024-04-22T16:35:00+02:00,4980.49,4983.67,4980.41,4983.46,NaN
2024-04-22T16:40:00+02:00,4983.49,4987.38,4982.11,4983.98,NaN
2024-04-22T16:45:00+02:00,4983.89,4985.73,4981.88,4983.05,NaN
2024-04-22T16:50:00+02:00,4983.04,4983.04,4975.57,4976.24,NaN
2024-04-22T16:55:00+02:00,4976.23,4976.94,4974.44,4976.71,NaN
2024-04-22T17:00:00+02:00,4976.76,4977.04,4974.66,4976.13,NaN
2024-04-22T17:05:00+02:00,4975.94,4976.05,4972.38,4972.92,NaN
2024-04-22T17:10:00+02:00,4973.04,4974.43,4971.65,4971.65,NaN
2024-04-22T17:15:00+02:00,4971.62,4974.25,4969.4,4972.36,NaN
2024-04-22T17:20:00+02:00,4972.33,4974.79,4972.1,4974.59,NaN
2024-04-22T17:25:00+02:00,4974.56,4979.21,4974.56,4979.21,NaN
2024-04-22T17:30:00+02:00,4978.91,4981.49,4978.89,4980.16,NaN
2024-04-22T17:35:00+02:00,4979.7,4984.7,4979.61,4984.4,NaN
2024-04-22T17:40:00+02:00,4984.34,4985.31,4979.85,4980.23,NaN
2024-04-22T17:45:00+02:00,4980.3,4982.4,4979.37,4981.99,NaN
2024-04-22T17:50:00+02:00,4982.06,4986.19,4981.77,4985.19,NaN
2024-04-22T17:55:00+02:00,4985.17,4989.15,4985.17,4989.11,NaN
2024-04-22T18:00:00+02:00,4989.12,4992.07,4988.18,4991.35,NaN
2024-04-22T18:05:00+02:00,4991.37,4991.94,4989.31,4990.18,NaN
2024-04-22T18:10:00+02:00,4990.04,4993.06,4989.86,4993.06,NaN
2024-04-22T18:15:00+02:00,4993.1,4999.61,4993.1,4994.97,NaN
2024-04-22T18:20:00+02:00,4994.97,4996.61,4992.04,4992.04,NaN
2024-04-22T18:25:00+02:00,4992,4994.71,4991.52,4992.57,NaN
2024-04-22T18:30:00+02:00,4992.58,4992.82,4988.46,4989.49,NaN
2024-04-22T18:35:00+02:00,4989.45,4993,4989.38,4992.81,NaN
2024-04-22T18:40:00+02:00,4992.85,4993.66,4991.9,4992.83,NaN
2024-04-22T18:45:00+02:00,4992.8,4997.18,4992.8,4995.9,NaN
2024-04-22T18:50:00+02:00,4995.97,4996.52,4993.84,4996.1,NaN
2024-04-22T18:55:00+02:00,4996.15,4999.09,4995.34,4999.02,NaN
2024-04-22T19:00:00+02:00,4999.01,5002.23,4997.79,5000.5,NaN
2024-04-22T19:05:00+02:00,5000.47,5004.4,5000.47,5002.93,NaN
2024-04-22T19:10:00+02:00,5002.82,5006.13,5002.59,5005.48,NaN
2024-04-22T19:15:00+02:00,5005.47,5006.28,5003.55,5004.48,NaN
2024-04-22T19:20:00+02:00,5004.58,5007.57,5004.47,5007.57,NaN
2024-04-22T19:25:00+02:00,5007.55,5015.25,5007.55,5015.07,NaN
2024-04-22T19:30:00+02:00,5015.2,5017.81,5014.52,5016.84,NaN
2024-04-22T19:35:00+02:00,5016.91,5017.46,5014.55,5016.73,NaN
2024-04-22T19:40:00+02:00,5016.78,5017.27,5015.62,5016.17,NaN
2024-04-22T19:45:00+02:00,5016.17,5024.14,5016.17,5023.91,NaN
2024-04-22T19:50:00+02:00,5023.9,5033.21,5023.43,5032.87,NaN
2024-04-22T19:55:00+02:00,5033.01,5033.73,5027.25,5029.42,NaN
2024-04-22T20:00:00+02:00,5029.46,5029.75,5027.3,5028.7,NaN
2024-04-22T20:05:00+02:00,5028.7,5032.01,5027.38,5031.53,NaN
2024-04-22T20:10:00+02:00,5031.48,5033.1,5030.17,5032.75,NaN
2024-04-22T20:15:00+02:00,5032.83,5035.23,5032.07,5034.67,NaN
2024-04-22T20:20:00+02:00,5034.71,5038.23,5034.64,5037.83,NaN
2024-04-22T20:25:00+02:00,5037.86,5037.91,5035.99,5035.99,NaN
2024-04-22T20:30:00+02:00,5036.03,5038.57,5036.03,5038.29,NaN
2024-04-22T20:35:00+02:00,5038.37,5038.84,5031.25,5032.73,NaN
2024-04-22T20:40:00+02:00,5032.87,5033.54,5025.6,5027.16,NaN
2024-04-22T20:45:00+02:00,5027.25,5028.29,5024.42,5025.45,NaN
2024-04-22T20:50:00+02:00,5025.52,5026.07,5022.24,5024.34,NaN
2024-04-22T20:55:00+02:00,5024.17,5028.69,5023.97,5028.53,NaN
2024-04-22T21:00:00+02:00,5028.62,5028.62,5025.26,5025.78,NaN
2024-04-22T21:05:00+02:00,5025.83,5026.19,5024.03,5025.69,NaN
2024-04-22T21:10:00+02:00,5025.77,5027.12,5023.72,5026.35,NaN
2024-04-22T21:15:00+02:00,5026.4,5027.03,5023.39,5023.44,NaN
2024-04-22T21:20:00+02:00,5023.4,5023.4,5018.51,5019.04,NaN
2024-04-22T21:25:00+02:00,5019.44,5022.1,5018.48,5021.41,NaN
2024-04-22T21:30:00+02:00,5021.35,5021.62,5011.8,5011.8,NaN
2024-04-22T21:35:00+02:00,5011.64,5011.8,5008.26,5008.75,NaN
2024-04-22T21:40:00+02:00,5008.87,5013.41,5007.91,5013.26,NaN
2024-04-22T21:45:00+02:00,5013.29,5018.03,5012.09,5016.93,NaN
2024-04-22T21:50:00+02:00,5013.49,5014.38,5005.95,5007.83,NaN
